trip_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,City,passenger_count,pickup_day,pickup_month,pickup_year,pickup_hour,pickup_minute,pickup_second,fare_amount
1,-73.844315,40.721317,-73.84161,40.712276,New York,1,15,6,2009,17,26,21,4.5
2,-74.016045,40.711304,-73.97927,40.782005,New York,1,5,1,2010,16,52,16,16.9
3,-73.982735,40.76127,-73.99124,40.75056,New York,2,18,8,2011,0,35,0,5.7
4,-73.98713,40.733143,-73.99157,40.75809,New York,1,21,4,2012,4,30,42,7.7
5,-73.968094,40.76801,-73.95666,40.783764,New York,1,9,3,2010,7,51,0,5.3
6,-74.00096,40.73163,-73.97289,40.758232,New York,1,6,1,2011,9,50,45,12.1
7,-73.98,40.751663,-73.9738,40.764843,New York,1,20,11,2012,20,35,0,7.5
8,-73.9513,40.77414,-73.9901,40.75105,New York,1,4,1,2012,17,22,0,16.5
9,-74.00646,40.72671,-73.99308,40.73163,New York,1,3,12,2012,13,10,0,9.0
10,-73.98066,40.73387,-73.99154,40.758137,New York,2,2,9,2009,1,11,0,8.9
11,-73.99634,40.73714,-73.98072,40.73356,New York,1,8,4,2012,7,30,50,5.3
12,0.0,0.0,0.0,0.0,New York,3,24,12,2012,11,24,0,5.5
13,-73.9916,40.744713,-73.98308,40.744682,New York,2,6,11,2009,1,4,3,4.1
14,-74.00536,40.728867,-74.00891,40.710907,New York,1,2,7,2013,19,54,0,7.0
15,-74.00182,40.73755,-73.99806,40.72279,New York,2,5,4,2011,17,11,5,7.7
16,0.0,0.0,0.0,0.0,New York,1,23,11,2013,12,57,0,5.0
17,-73.98643,40.760464,-73.98899,40.737076,New York,1,19,2,2014,7,22,0,12.5
18,-73.98106,40.73769,-73.99418,40.728413,New York,1,22,7,2009,16,8,0,5.3
19,-73.969505,40.784843,-73.95873,40.783356,New York,1,7,7,2010,14,52,0,5.3
20,-73.97981,40.751904,-73.97945,40.75548,New York,1,6,12,2014,20,36,22,4.0
21,-73.98538,40.747856,-73.97838,40.76207,New York,1,7,9,2010,13,18,0,10.5
22,-73.957954,40.77925,-73.96125,40.758785,New York,1,12,2,2013,12,15,46,11.5
23,-73.99171,40.770504,-73.98546,40.76367,New York,1,6,8,2009,18,17,23,4.5
24,-74.00063,40.747475,-73.98667,40.740578,New York,1,6,12,2010,12,29,0,4.9
25,-73.96962,40.756973,-73.981155,40.759712,New York,1,10,12,2009,15,37,0,6.1
26,-73.991875,40.754436,-73.97723,40.774323,New York,3,21,6,2011,16,15,0,7.3
27,0.0,0.0,0.0,0.0,New York,1,7,2,2011,20,1,0,6.5
28,-73.98889,40.76016,-73.98644,40.75786,New York,3,28,6,2011,19,47,0,4.5
29,-73.98926,40.690834,-74.004135,40.72569,New York,1,4,5,2012,6,11,20,9.3
30,-73.98102,40.73776,-73.98067,40.730495,New York,2,11,8,2013,0,52,0,4.5
31,-73.976074,40.752422,-73.98108,40.759285,New York,1,19,2,2014,16,3,0,5.5
32,-74.01048,40.717667,-73.98577,40.660366,New York,1,21,6,2015,21,46,34,22.54
33,-73.873024,40.773884,-73.98454,40.769547,New York,3,9,1,2009,16,10,0,31.9
34,-73.976166,40.744987,-73.990005,40.738323,New York,2,7,9,2011,14,5,0,5.7
35,-73.99371,40.740784,-73.999275,40.676617,New York,1,7,9,2011,23,5,44,18.1
36,-73.98333,40.73872,-73.9332,40.847225,New York,1,11,1,2015,3,15,38,58.0
37,-73.99017,40.756447,-73.98562,40.76283,New York,1,12,3,2015,8,8,38,4.5
38,-73.9952,40.75474,-74.00542,40.751083,New York,1,19,1,2012,10,15,30,5.3
39,-73.95774,40.773617,-73.97709,40.758465,New York,6,24,11,2013,11,42,0,9.0
40,-73.97267,40.759186,-73.969894,40.791367,New York,1,2,3,2009,20,42,49,9.8
41,-73.98427,40.74496,-73.98164,40.75961,New York,1,29,3,2011,15,39,49,8.1
42,-74.0039,40.725513,-73.97649,40.765537,New York,2,15,10,2011,10,55,24,10.9
43,-73.97845,40.76292,-74.008484,40.716503,New York,1,22,11,2013,8,38,9,17.5
44,-73.988556,40.7372,-73.95869,40.780746,New York,1,10,6,2009,21,28,0,12.1
45,-73.99704,40.737095,-73.98613,40.735043,New York,1,4,3,2011,18,12,0,5.3
46,-73.971115,40.758945,-73.97793,40.736614,New York,1,31,8,2011,21,14,15,6.9
47,-73.98082,40.74442,-73.9911,40.7488,New York,1,1,6,2011,20,30,0,4.5
48,-73.98888,40.763577,-73.98557,40.76026,New York,1,14,12,2011,7,53,0,3.3
49,-73.98666,40.756073,-73.98972,40.7517,New York,5,18,7,2012,0,16,0,3.3
